channel_name,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
32a,OFF,19.238914305562517,0.6546498190869248,0.5499940355917499,0.5385666340431674,True,16.87864024030844,15.836055146458147,0.5804930442770416,0.41950695572295904,0.18034731408949248
32b,ON,16.838700104053355,0.8624290829470436,0.749463420921676,0.7162147923450775,True,17.381464070777863,6.501815190372027,0.7757708803872424,0.22422911961275788,0.07643098106712562
32c,OFF,11.834730620666635,1.1487067784670633,1.1418584881769154,1.1174949668552205,True,5.392140922174932,11.87322857397676,0.027214106349696232,0.9727858936503054,0.7434567901234569
33a,OFF,23.317094851505463,0.44141273199048986,0.43650563026812966,0.4320914007622321,True,8.437383382640524,17.772104921603134,0.5083006106186684,0.49169938938133206,-0.1362920558329933
33b,OFF,22.81131680913839,0.9290336816306317,0.9089612243651071,0.8814390712883019,True,7.410197396152978,22.758741144420153,0.04228486406015672,0.9577151359398428,0.3407368534782139
34a,ON,26.304961813760826,0.7106962309772837,0.5952136203902724,0.5868178030247762,True,23.53703790827473,18.793710640906617,0.6533232627744775,0.3466767372255213,0.15538272902032926
34b,ON,18.52077185513314,0.7060693330025636,0.5971612937215776,0.5880024987865465,True,21.348267625323178,18.805903995038705,0.5623502488804771,0.4376497511195223,-0.3703632543290714
35a,ON,13.477084180187939,0.6655203344779591,0.5522004962180637,0.5489824040620092,True,25.853628356890127,22.68553799994199,0.5487286545198214,0.4512713454801779,-0.4365393127243851
36a,unknown,5.783477248734383,0.46845952141886116,0.4615601474865275,0.45899185668372466,True,6.586109004764331,5.909323787734271,0.49442375934754584,0.5055762406524542,-0.26883681670957194
36b,unknown,5.589969425286899,0.6658104000204749,0.6523878201137596,0.6498451116851816,True,5.928060291940612,6.041497421216063,0.37612612709731413,0.6238738729026858,-0.0477238189074999
36c,unknown,7.0124322211502825,2.0252262231458267,1.892021601463513,1.7807830718294808,True,6.968100531116085,5.969355775698323,0.9258948927783456,0.07410510722165438,0.310232558139535
38a,unknown,6.208253678528912,2.033518810763991,1.4917794640957098,1.3354285682651452,True,6.220387473056133,3.5671528814439126,0.9887640449858572,0.011235955014142766,-0.012477499590901497
38b,unknown,6.838265940316275,1.367787428609628,1.3524280896234075,1.3119324037306321,True,4.500796720326885,7.108949995340021,0.020616217299483895,0.9793837827005158,0.1342281879194632
38c,unknown,5.500725419096873,5.569849205829518,5.452016653211626,5.168333159679722,True,5.306095189210915,4.879071705379944,0.90963635913914,0.09036364086086009,0.2896613190730838
41a,OFF,8.169152876845319,1.2317051050991912,1.1532213996029232,1.0831633258563984,True,5.303121603392304,8.537821574210259,0.04226082000484862,0.9577391799951509,0.47804838709677433
41b,OFF,10.123095481698437,1.4670389581825551,1.1706702409608107,1.1158576041671706,True,10.720504558234023,5.368739828196084,0.9719701812624388,0.028029818737561354,0.5275351916098416
41c,OFF,9.09890249530954,2.0524490808454576,1.8135171898367233,1.7914890379155246,True,9.456943030892889,5.658537832066518,0.9664318308842508,0.033568169115749044,0.33444444444444427
42a,ON,17.077790336564224,0.5177222580238274,0.5085976779686655,0.5054840861776261,True,9.576320971063659,8.187618351202834,0.5051022625221153,0.49489773747788435,-0.20705835027392636
42b,ON,21.17484398133543,0.768182510496036,0.649924125154383,0.6441616607280102,True,20.352372444037325,5.74422356230523,0.5957714588241967,0.4042285411758032,-0.1275174552273859
42c,OFF,13.444183461902373,0.9314196105584123,0.8773994038628248,0.8719069539880923,True,13.105990532226457,6.076621337368537,0.9642614965490423,0.03573850345095704,0.37502941176470594
42d,unknown,7.478092207265397,3.663064283709605,3.544566225950937,3.365968735365163,True,6.153119281183609,6.630339797766386,0.237165978646366,0.7628340213536342,-0.24074074074074067
43a,OFF,24.96064211463857,0.48262123125747985,0.4627642264625144,0.4567690968771604,True,20.561851120209695,8.948981972495874,0.5420936450807989,0.45790635491920095,-0.10381450509508919
43b,ON,15.247849975701595,1.3761631927295495,1.3106998535495746,1.2769035807213047,True,15.376356534113272,5.35451173169785,0.9754930269632635,0.024506973036736192,0.892500356786071
43c,unknown,10.64835835590758,3.465160474515441,3.2381305382244836,3.1741108090840737,True,7.864764335485861,8.694306903960928,0.38573055214336976,0.6142694478566303,-0.739018087855297
45a,OFF,20.624861469492256,0.6174131356966004,0.559163682287714,0.552356375650498,True,9.78515851068312,18.945116815217567,0.411361808386079,0.5886381916139201,0.01850283588665383
45b,OFF,22.57902416724969,0.9874916140980585,0.9322847418209665,0.9223013548820994,True,23.328699056273642,11.60156065078487,0.8681185387885039,0.13188146121149585,0.6142113349265961
45c,OFF,11.82798666873504,1.5293801396898878,1.4699711078958004,1.402328625384146,True,11.281658078032123,3.9754449846641844,0.9904727925120799,0.009527207487920715,0.1393736017897091
46a,unknown,6.157515030147054,0.49555749361905227,0.49483943888173354,0.48837725774143154,True,5.627734894471192,5.7670331821336696,0.49753683270449695,0.5024631672955031,-0.2800959621518083
